Metodo;tamanho;tipo de array;tempo;

insertion Sort;1000000;Ordenado;9;
Bubble Sort;1000000;Ordenado;124966;
Selection Sort;1000000;Ordenado;96805;
Heap Sort;1000000;Ordenado;102;
Quick Sort;1000000;Ordenado;105799;
Merge Sort;1000000;Ordenado;76;
insertion Sort;1000000;Inversamente Ordenado;509020;
Bubble Sort;1000000;Inversamente Ordenado;122942;
Selection Sort;1000000;Inversamente Ordenado;94142;
Heap Sort;1000000;Inversamente Ordenado;81;
Quick Sort;1000000;Inversamente Ordenado;316537;
Merge Sort;1000000;Inversamente Ordenado;55;
insertion Sort;1000000;Aleatorio;248933;
Bubble Sort;1000000;Aleatorio;105062;
Selection Sort;1000000;Aleatorio;96864;
Heap Sort;1000000;Aleatorio;93;
Quick Sort;1000000;Aleatorio;339870;
Merge Sort;1000000;Aleatorio;59;
insertion Sort;1000000;Quase Ordenado;25590;
Bubble Sort;1000000;Quase Ordenado;127634;
Selection Sort;1000000;Quase Ordenado;127916;
Heap Sort;1000000;Quase Ordenado;144;
Quick Sort;1000000;Quase Ordenado;361202;
Merge Sort;1000000;Quase Ordenado;58;
insertion Sort;100000;Ordenado;0;
Bubble Sort;100000;Ordenado;1135;
Selection Sort;100000;Ordenado;986;
Heap Sort;100000;Ordenado;9;
Quick Sort;100000;Ordenado;4311;
Merge Sort;100000;Ordenado;4;
insertion Sort;100000;Inversamente Ordenado;2117;
Bubble Sort;100000;Inversamente Ordenado;1186;
Selection Sort;100000;Inversamente Ordenado;1132;
Heap Sort;100000;Inversamente Ordenado;7;
Quick Sort;100000;Inversamente Ordenado;3620;
Merge Sort;100000;Inversamente Ordenado;5;
insertion Sort;100000;Aleatorio;1087;
Bubble Sort;100000;Aleatorio;1204;
Selection Sort;100000;Aleatorio;966;
Heap Sort;100000;Aleatorio;7;
Quick Sort;100000;Aleatorio;3659;
Merge Sort;100000;Aleatorio;5;
insertion Sort;100000;Quase Ordenado;243;
Bubble Sort;100000;Quase Ordenado;1164;
Selection Sort;100000;Quase Ordenado;968;
Heap Sort;100000;Quase Ordenado;7;
Quick Sort;100000;Quase Ordenado;3580;
Merge Sort;100000;Quase Ordenado;7;
insertion Sort;10000;Ordenado;0;
Bubble Sort;10000;Ordenado;12;
Selection Sort;10000;Ordenado;10;
Heap Sort;10000;Ordenado;1;
Quick Sort;10000;Ordenado;36;
Merge Sort;10000;Ordenado;0;
insertion Sort;10000;Inversamente Ordenado;21;
Bubble Sort;10000;Inversamente Ordenado;12;
Selection Sort;10000;Inversamente Ordenado;11;
Heap Sort;10000;Inversamente Ordenado;0;
Quick Sort;10000;Inversamente Ordenado;34;
Merge Sort;10000;Inversamente Ordenado;0;
insertion Sort;10000;Aleatorio;12;
Bubble Sort;10000;Aleatorio;10;
Selection Sort;10000;Aleatorio;10;
Heap Sort;10000;Aleatorio;0;
Quick Sort;10000;Aleatorio;35;
Merge Sort;10000;Aleatorio;0;
insertion Sort;10000;Quase Ordenado;4;
Bubble Sort;10000;Quase Ordenado;13;
Selection Sort;10000;Quase Ordenado;9;
Heap Sort;10000;Quase Ordenado;1;
Quick Sort;10000;Quase Ordenado;41;
Merge Sort;10000;Quase Ordenado;0;
insertion Sort;1000;Ordenado;0;
Bubble Sort;1000;Ordenado;0;
Selection Sort;1000;Ordenado;0;
Heap Sort;1000;Ordenado;0;
Quick Sort;1000;Ordenado;0;
Merge Sort;1000;Ordenado;0;
insertion Sort;1000;Inversamente Ordenado;0;
Bubble Sort;1000;Inversamente Ordenado;0;
Selection Sort;1000;Inversamente Ordenado;0;
Heap Sort;1000;Inversamente Ordenado;0;
Quick Sort;1000;Inversamente Ordenado;0;
Merge Sort;1000;Inversamente Ordenado;0;
insertion Sort;1000;Aleatorio;0;
Bubble Sort;1000;Aleatorio;0;
Selection Sort;1000;Aleatorio;0;
Heap Sort;1000;Aleatorio;0;
Quick Sort;1000;Aleatorio;0;
Merge Sort;1000;Aleatorio;0;
insertion Sort;1000;Quase Ordenado;0;
Bubble Sort;1000;Quase Ordenado;0;
Selection Sort;1000;Quase Ordenado;0;
Heap Sort;1000;Quase Ordenado;0;
Quick Sort;1000;Quase Ordenado;0;
Merge Sort;1000;Quase Ordenado;0;
insertion Sort;100;Ordenado;0;
Bubble Sort;100;Ordenado;0;
Selection Sort;100;Ordenado;0;
Heap Sort;100;Ordenado;0;
Quick Sort;100;Ordenado;0;
Merge Sort;100;Ordenado;0;
insertion Sort;100;Inversamente Ordenado;0;
Bubble Sort;100;Inversamente Ordenado;0;
Selection Sort;100;Inversamente Ordenado;0;
Heap Sort;100;Inversamente Ordenado;0;
Quick Sort;100;Inversamente Ordenado;0;
Merge Sort;100;Inversamente Ordenado;0;
insertion Sort;100;Aleatorio;0;
Bubble Sort;100;Aleatorio;0;
Selection Sort;100;Aleatorio;0;
Heap Sort;100;Aleatorio;0;
Quick Sort;100;Aleatorio;0;
Merge Sort;100;Aleatorio;0;
insertion Sort;100;Quase Ordenado;0;
Bubble Sort;100;Quase Ordenado;0;
Selection Sort;100;Quase Ordenado;0;
Heap Sort;100;Quase Ordenado;0;
Quick Sort;100;Quase Ordenado;0;
Merge Sort;100;Quase Ordenado;0;
insertion Sort;10;Ordenado;0;
Bubble Sort;10;Ordenado;0;
Selection Sort;10;Ordenado;0;
Heap Sort;10;Ordenado;0;
Quick Sort;10;Ordenado;0;
Merge Sort;10;Ordenado;0;
insertion Sort;10;Inversamente Ordenado;0;
Bubble Sort;10;Inversamente Ordenado;0;
Selection Sort;10;Inversamente Ordenado;0;
Heap Sort;10;Inversamente Ordenado;0;
Quick Sort;10;Inversamente Ordenado;0;
Merge Sort;10;Inversamente Ordenado;0;
insertion Sort;10;Aleatorio;0;
Bubble Sort;10;Aleatorio;0;
Selection Sort;10;Aleatorio;0;
Heap Sort;10;Aleatorio;0;
Quick Sort;10;Aleatorio;0;
Merge Sort;10;Aleatorio;0;
insertion Sort;10;Quase Ordenado;0;
Bubble Sort;10;Quase Ordenado;0;
Selection Sort;10;Quase Ordenado;0;
Heap Sort;10;Quase Ordenado;0;
Quick Sort;10;Quase Ordenado;0;
Merge Sort;10;Quase Ordenado;0;
